TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JAN 30, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,945.3,0,0,0,0,0,0,0,945.3
"WEEK OF FEB 27, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1258.5,0,0,0,0,0,0,0,1258.5
"WEEK OF MAR 27, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,462.4,0,0,0,0,0,0,0,462.4
"WEEK OF APR 10, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2580,1698.3,880.9,0.8,0,0,0,0,0
"WEEK OF APR 17, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1906.5,1294,612.5,0,0,0,0,0,0
"WEEK OF APR 24, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1886.8,1085.3,797.8,0,0,0,3.7,0,0
"WEEK OF MAY 01, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,252.9,0,0.8,0,0,0,0,0,252.1
"WEEK OF MAY 15, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1672.1,647.8,1024.3,0,0,0,0,0,0
"WEEK OF MAY 22, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1253.2,784.8,468.4,0,0,0,0,0,0
"WEEK OF MAY 29, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,524.7,297.2,3.2,0,0,0,0,0,224.2
"WEEK OF JUN 12, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1206,847.8,358.2,0,0,0,0,0,0
"WEEK OF JUN 19, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,1242.9,738.3,504.5,0,0,0,0,0,0
"WEEK OF JUN 26, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,244.1,0,0.3,0,0,0,0,0,243.8
"WEEK OF JUL 31, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,249.6,0,0,0,0,0,0,26.3,223.3
"WEEK OF AUG 07, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,30.7,0,0,0,0,0,0,30.7,0
"WEEK OF AUG 14, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,30.7,0,0,0,0,0,0,30.7,0
"WEEK OF AUG 21, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,30.7,0,0,0,0,0,0,30.7,0
"WEEK OF AUG 28, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,352.7,0,0,0,0,0,0,21.5,331.2
"WEEK OF SEP 04, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,9.3,0,0,0,0,0,0,9.3,0
"WEEK OF SEP 11, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,9.3,0,0,0,0,0,0,9.3,0
"WEEK OF SEP 18, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,9.3,0,0,0,0,0,0,9.3,0
"WEEK OF SEP 25, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,5830.7,4203.3,816.4,37.6,0,0,0,8,765.5
"WEEK OF OCT 02, 2017 (B)",Chipotle Mexican Grill : Corporate Promotion,0.1,0,0,0.1,0,0,0,0,0
"WEEK OF OCT 02, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,3369.1,2904.9,464.2,0,0,0,0,0,0
"WEEK OF OCT 09, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2365.5,1811.4,543.3,10.8,0,0,0,0,0
"WEEK OF OCT 16, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2409.8,1894.7,515.1,0,0,0,0,0,0
"WEEK OF OCT 23, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2917.6,2347.5,570.1,0,0,0,0,0,0
"WEEK OF OCT 30, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,3167.5,1895.6,735,0.4,0,0,0,0,536.5
"WEEK OF NOV 06, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2212.5,1766.5,446,0,0,0,0,0,0
"WEEK OF NOV 13, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,2.2,0,2.2,0,0,0,0,0,0
"WEEK OF NOV 27, 2017 (B)",Chipotle Mexican Grill : General Promotion - QSR,188,0,0,0,0,0,0,0,188
"WEEK OF JAN 01, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,309,0,0,0,0,0,0,0,309
"WEEK OF JAN 29, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,226.5,0,0,0,0,0,0,0,226.5
"WEEK OF FEB 26, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,233.4,0,0,0,0,0,0,0,233.4
"WEEK OF MAR 26, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,231.1,0,0,0,0,0,0,0,231.1
"WEEK OF APR 16, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1713.5,1019.9,693.6,0,0,0,0,0,0
"WEEK OF APR 23, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1462.3,892.2,570.1,0,0,0,0,0,0
"WEEK OF APR 30, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1917.8,1111.4,573,0,0,0,0,0,233.4
"WEEK OF MAY 07, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1146.4,515.7,630.7,0,0,0,0,0,0
"WEEK OF MAY 14, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1564.8,758.6,806.2,0,0,0,0,0,0
"WEEK OF MAY 21, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1174.2,584.5,589.7,0,0,0,0,0,0
"WEEK OF MAY 28, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,1255.3,729.6,290.7,0,0,0,0,0,234.9
"WEEK OF JUN 04, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,664.2,397.9,266.3,0,0,0,0,0,0
"WEEK OF JUN 11, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,77.8,53.9,23.9,0,0,0,0,0,0
"WEEK OF JUN 25, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,237.2,0,0,0,0,0,0,0,237.2
"WEEK OF JUL 30, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,247.1,0,0,0,0,0,0,7.6,239.5
"WEEK OF AUG 06, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,10.6,0,0,0,0,0,0,10.6,0
"WEEK OF AUG 13, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,10.6,0,0,0,0,0,0,10.6,0
"WEEK OF AUG 20, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,10.6,0,0,0,0,0,0,10.6,0
"WEEK OF AUG 27, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,246.2,0,0,0,0,0,0,9.3,236.9
"WEEK OF SEP 03, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,5.9,0,0,0,0,0,0,5.9,0
"WEEK OF SEP 10, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,5.9,0,0,0,0,0,0,5.9,0
"WEEK OF SEP 17, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,5.9,0,0,0,0,0,0,5.9,0
"WEEK OF SEP 24, 2018 (B)",Chipotle Mexican Grill : Corporate Promotion,18.9,0,0,18.9,0,0,0,0,0
"WEEK OF SEP 24, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,5361.3,4443.5,752.2,31.3,0,128.3,0,5.9,0
"WEEK OF SEP 24, 2018 (B)",Chipotle Mexican Grill : Online,1.2,0,0.2,0.9,0,0,0,0,0
"WEEK OF OCT 01, 2018 (B)",Chipotle Mexican Grill : Corporate Promotion,33.6,0,0,33.6,0,0,0,0,0
"WEEK OF OCT 01, 2018 (B)",Chipotle Mexican Grill : General Promotion - QSR,4589,3330.4,881.4,37.4,0,0,0,13.1,326.6
"WEEK OF OCT 01, 2018 (B)",Chipotle Mexican Grill : Online,143.6,130,6.6,6.9,0,0,0,0,0
